,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1089,1,0.9999999,41,0,219.0,6670.22123739,1,2,0,1,0.757222267861
1144,1,0.954449046,55,5,773.0,6670.22123739,7,1,0,3,0.0
1151,1,0.81054584,57,2,1.141452126,3456.0,29,0,1,1,1.0
1165,1,0.902797114,45,3,2788.0,6670.22123739,8,2,1,2,0.0
1171,1,0.9999999,71,1,0.313816494,2800.0,2,0,1,1,0.0
1184,1,0.087649402,27,0,0.009995457,2200.0,2,0,0,1,1.0
1198,1,0.0,36,0,0.157678245,4375.0,7,0,0,0,2.0
1229,1,0.9999999,60,1,0.540617473,4566.0,2,0,1,1,0.0
1258,1,0.887080965,45,0,0.482275525,4710.0,4,0,1,1,2.0
1264,1,0.767840152,74,3,0.2964495,2900.0,4,1,0,1,0.0
1265,1,0.041191762,31,0,0.261369315,2000.0,3,0,0,0,0.0
1275,1,0.965034965,35,0,0.062791628,7500.0,2,0,1,1,2.0
1283,1,1.0085156,59,1,2.219737309,5633.0,23,0,4,0,0.0
1294,1,0.9999999,34,0,0.254256527,6166.0,5,1,1,1,2.0
1297,1,0.9999999,30,0,0.015108425,5625.0,2,0,0,0,1.0
1309,1,0.983078225,42,0,0.884470118,4500.0,17,0,2,0,2.0
1311,1,0.972150876,59,0,1.473797947,1850.0,12,0,2,0,0.0
1336,1,0.617025827,26,0,0.160912815,3417.0,5,0,0,0,0.0
1337,1,0.409985282,69,1,0.279980823,14600.0,15,0,2,0,0.0
1398,1,0.82644118,38,0,0.6536804,5800.0,9,0,1,0,2.0
1402,1,0.0,67,0,0.345825195,16383.0,20,0,3,0,1.0
1420,1,0.0,41,1,0.526684164,8000.0,4,1,2,1,1.0
1462,1,0.702381432,54,0,0.866732547,14166.0,21,0,6,0,3.0
1483,1,1.083405734,55,3,0.490218316,3526.0,10,0,1,1,1.0
1509,1,0.9999999,42,0,31.0,6670.22123739,0,2,0,0,0.0
1578,1,0.602746575,42,0,0.260608705,9166.0,4,0,0,0,1.0
1597,1,0.9999999,35,1,0.900911497,3400.0,6,0,2,0,0.0
1612,1,0.983338887,27,0,0.106808245,1600.0,9,0,0,0,0.0
1646,1,0.922505535,45,0,0.501614046,12700.0,11,0,4,0,1.0
1660,1,0.9999999,50,1,1305.0,6670.22123739,2,0,1,0,0.0
1711,1,0.9999999,52,0,0.237812128,6727.0,2,4,0,1,1.0
1728,1,0.537417139,38,1,2748.0,6670.22123739,5,3,1,3,0.0
1731,1,0.9999999,27,98,0.0,2700.0,0,98,0,98,0.0
1764,1,0.197701607,55,1,0.258874113,10000.0,7,0,2,1,1.0
1768,1,0.768820786,25,1,0.569584736,1781.0,6,0,0,0,0.0
1787,1,0.9999999,70,1,520.0,6670.22123739,3,0,1,1,0.0
1794,1,0.978808477,47,1,0.428419088,3750.0,5,4,0,0,1.0
1795,1,1.050951924,61,3,0.801221544,1800.0,7,3,2,0,0.0
1798,1,0.9999999,39,0,0.041420118,3041.0,2,1,0,0,3.0
1801,1,0.9999999,79,0,190.0,6670.22123739,0,0,0,0,0.0
1824,1,0.9999999,64,1,0.967923863,2836.0,6,0,1,0,2.0
1836,1,0.924601885,43,1,0.367097806,6880.0,4,0,0,0,1.0
1843,1,0.9999999,55,0,0.025398541,3700.0,1,2,0,1,0.0
1859,1,0.955200471,44,0,2277.0,6670.22123739,10,0,1,0,0.0
1864,1,1.000782541,49,1,0.642629905,6600.0,9,0,1,1,0.0
1869,1,0.9999999,46,0,117.0,6670.22123739,2,0,0,0,0.0
1875,1,0.9999999,41,0,0.492424242,5147.0,5,1,1,0,1.0
1907,1,0.9999999,30,0,0.0,2900.0,3,0,0,0,1.0
1909,1,0.680161943,47,4,0.378735696,9000.0,7,0,1,0,2.0
1953,1,1.022703603,44,2,0.200471991,8050.0,6,2,0,2,1.0
1955,1,0.9999999,36,0,2730.0,6670.22123739,2,0,2,0,0.0
1975,1,0.966777409,40,2,0.90261115,2833.0,5,3,1,1,2.0
1977,1,0.909494725,23,0,0.149140344,2500.0,8,0,0,0,0.0
1989,1,1143.0,44,2,0.547761883,6500.0,13,0,4,0,2.0
2022,1,0.9999999,46,0,0.427854938,5183.0,4,1,1,0,7.0
2030,1,0.752445768,55,2,0.305395683,2779.0,5,2,0,1,0.0
2040,1,0.9999999,48,1,0.26296065,1600.0,1,0,0,0,0.0
2067,1,0.769765421,37,6,1.433628319,3050.0,8,2,1,1,1.0
2079,1,0.772891132,55,2,0.286726106,12000.0,6,1,2,0,0.0
2080,1,0.056024823,58,3,1598.0,6670.22123739,5,1,2,0,0.757222267861
2094,1,0.627858098,54,0,0.164475316,4030.0,6,0,0,0,1.0
2103,1,0.718693752,54,1,0.626305265,4500.0,11,0,1,1,0.0
2129,1,0.930232558,74,2,0.32247662,3100.0,6,0,0,0,0.0
2149,1,0.108532462,52,3,0.338559418,4400.0,13,1,1,0,1.0
2168,1,0.9999999,35,3,0.353441093,6000.0,5,2,0,1,1.0
2217,1,0.877076412,51,4,0.81300813,4550.0,15,0,1,0,2.0
2263,1,0.306928195,49,1,5072.0,6670.22123739,16,0,2,0,0.0
2275,1,0.93549709,55,0,0.4502933,6477.0,10,0,2,0,0.0
2276,1,0.741505663,43,2,0.182833217,5731.0,11,0,0,1,1.0
2278,1,1.388611389,27,0,0.036021023,7800.0,3,0,0,1,0.0
2311,1,0.495520162,55,1,0.701377099,5300.0,12,0,1,1,2.0
2312,1,0.0,26,0,0.219129193,1400.0,4,0,0,0,1.0
2315,1,0.016814976,43,1,0.029509816,8098.0,6,0,0,1,0.0
2321,1,0.098532359,46,0,0.091918883,9812.0,6,0,0,0,0.0
2333,1,0.9999999,48,4,1.195921631,2500.0,5,1,3,1,0.0
2336,1,0.331931595,33,0,0.448183042,5200.0,7,0,2,0,0.0
2405,1,0.049761737,27,0,0.217188062,2780.0,7,0,0,0,0.0
2417,1,1.305389222,63,1,0.182890855,1355.0,3,0,0,1,0.0
2426,1,0.92358804,39,1,0.180880975,3200.0,3,0,0,0,0.0
2432,1,0.9999999,40,0,0.024168236,3185.0,1,3,0,0,2.0
2460,1,0.117703076,51,2,0.107120353,4760.0,9,0,0,1,0.0
2468,1,0.9999999,46,1,0.673163418,2000.0,5,3,0,2,0.0
2473,1,0.986295215,50,3,0.170919325,5329.0,6,0,2,1,1.0
2486,1,0.258262875,40,1,0.718093969,3000.0,5,3,2,0,1.0
2547,1,0.972037284,53,2,0.178454842,3675.0,9,1,0,1,0.0
2555,1,0.9999999,36,0,1.018654231,1500.0,3,1,1,1,0.0
2556,1,0.493802479,28,1,0.55064194,700.0,9,0,0,0,0.0
2569,1,2.760956175,65,0,0.470273484,1681.0,3,4,0,0,0.0
2592,1,0.958552117,48,0,584.0,6670.22123739,4,2,0,1,0.0
2643,1,0.9999999,36,2,3931.0,6670.22123739,5,0,2,2,0.0
2672,1,0.9999999,24,0,0.098901099,1000.0,3,1,0,0,0.0
2699,1,1.094433952,40,4,0.315929793,4500.0,7,0,0,0,2.0
2703,1,0.9999999,62,1,0.363481644,4112.0,5,0,1,1,1.0
2762,1,0.995002776,30,1,0.176955761,4000.0,3,10,0,0,0.0
2819,1,0.071554892,30,0,0.234654633,19500.0,11,0,3,0,0.0
2824,1,0.9999999,46,0,0.0,6670.22123739,0,0,0,0,5.0
2889,1,0.9999999,32,0,113.0,6670.22123739,0,0,0,1,0.0
2904,1,1.062215309,45,3,2.030193961,5000.0,14,0,4,1,1.0
2926,1,0.281131894,54,0,0.931785196,6200.0,10,0,3,0,1.0
2928,1,1.063782107,45,3,0.257588899,2305.0,10,0,0,0,2.0
2939,1,0.554379777,28,1,0.227874155,3400.0,3,0,1,0,0.0
2943,1,0.242524917,28,0,0.19089626,2833.0,9,5,0,0,0.0
2952,1,0.686354379,27,0,805.0,6670.22123739,2,0,0,0,1.0
2965,1,0.0,43,0,0.454052007,7921.0,4,0,1,3,1.0
2997,1,0.014867443,45,0,0.006124234,8000.0,6,0,0,0,0.0
3005,1,0.95068234,27,1,0.163586792,3300.0,10,0,0,0,2.0
3014,1,0.9999999,42,0,0.132915138,8448.0,2,1,0,1,2.0
3020,1,0.929868562,46,3,0.580886505,7083.0,12,1,2,1,1.0
3034,1,0.9999999,29,0,0.049146189,2400.0,3,1,0,0,0.0
3046,1,0.123953206,54,2,0.96992596,13100.0,24,0,6,0,4.0
3050,1,0.114582597,34,0,0.568368672,4621.0,7,0,1,0,0.0
3073,1,1.020756866,30,2,0.439538384,3985.0,10,0,1,0,2.0
3087,1,0.0,41,0,925.0,6670.22123739,3,2,2,0,0.0
3097,1,0.801272342,31,0,0.486159487,5454.0,8,0,1,0,1.0
3103,1,0.015345635,43,0,0.031514998,7900.0,21,0,0,0,3.0
3105,1,0.9999999,49,0,0.204984232,13000.0,2,3,1,2,1.0
3138,1,1.046366936,52,3,0.645127342,4750.0,7,0,1,0,2.0
3144,1,0.98320224,60,1,0.611755298,2500.0,7,0,2,1,0.0
3196,1,0.036387859,53,0,0.706280788,3247.0,22,0,1,1,2.0
3209,1,1.019350677,45,5,0.504165014,10083.0,10,0,1,0,2.0
3219,1,0.297746512,46,0,0.436284312,5500.0,8,0,2,0,0.0
3244,1,0.040564773,71,0,0.291714123,7023.0,15,0,2,0,2.0
3267,1,0.603126754,31,0,0.64073727,3200.0,11,0,1,0,1.0
3286,1,0.047060392,63,0,0.728098873,2750.0,4,0,1,0,0.0
3311,1,0.9999999,70,0,0.0,2300.0,1,0,0,0,0.0
3315,1,0.89010697,46,3,0.986361297,3885.0,12,0,3,4,3.0
3334,1,0.426294821,64,0,396.0,6670.22123739,2,1,0,0,0.757222267861
3345,1,0.563819824,39,3,0.181116983,7000.0,15,1,0,1,2.0
3346,1,0.87064117,53,0,1238.0,6670.22123739,4,1,0,1,0.0
3381,1,0.9999999,53,0,0.0,6495.0,0,0,0,0,0.0
3394,1,0.9999999,45,0,0.357910522,4000.0,6,6,0,1,2.0
3410,1,0.834839454,36,1,0.212615792,6800.0,10,1,0,3,3.0
3414,1,0.014245716,80,2,517.0,6670.22123739,9,2,0,0,0.757222267861
3451,1,0.841158841,30,1,259.0,6670.22123739,3,1,0,0,1.0
3452,1,0.530960507,51,2,0.151082251,2309.0,10,1,0,0,0.0
3454,1,0.745738933,63,3,0.72425829,4583.0,11,0,1,0,0.0
3460,1,0.9999999,40,0,0.006959443,4166.0,0,1,0,0,3.0
3482,1,0.708234174,55,3,2459.0,6670.22123739,10,0,2,0,0.0
3493,1,0.711237719,40,2,0.57706049,8116.0,9,1,2,0,1.0
3501,1,0.0,26,0,0.084269663,533.0,1,2,0,0,2.0
3513,1,0.974792261,32,3,1.383846356,3800.0,11,0,3,0,4.0
3539,1,0.972232905,40,3,1.179950014,3600.0,10,1,4,1,1.0
3585,1,0.018899055,62,1,1517.0,6670.22123739,5,0,2,0,0.0
3594,1,0.7509038,30,1,0.120606155,6400.0,6,1,0,0,0.0
3615,1,0.573024314,56,7,0.394758228,4921.0,14,0,1,0,0.0
3632,1,0.253193837,41,0,650.0,6670.22123739,7,0,0,1,0.0
3644,1,0.9999999,33,0,0.791069643,3000.0,7,0,2,0,1.0
3645,1,0.99142402,40,6,0.892328398,5200.0,9,0,2,1,0.0
3657,1,0.29814801,61,0,0.299518226,11000.0,21,0,3,0,0.0
3670,1,0.9999999,47,1,0.130455986,4100.0,4,0,1,1,2.0
3683,1,0.9999999,40,0,828.0,6670.22123739,3,2,0,0,0.0
3703,1,0.845686173,52,1,0.257958673,25600.0,9,0,3,0,0.0
3704,1,0.9999999,28,0,0.444334488,2020.0,3,1,0,0,0.0
3717,1,0.9999999,28,1,0.254461716,1736.0,1,0,0,0,1.0
3726,1,0.600470035,37,0,0.151017494,2800.0,5,0,0,0,0.0
3738,1,0.96948894,53,0,165.0,6670.22123739,6,0,0,0,0.0
3740,1,0.99363752,36,0,0.512851897,2450.0,9,0,0,0,1.0
3741,1,0.788844622,49,3,0.164432285,3654.0,4,1,0,0,0.0
3744,1,0.032786885,46,2,0.459135216,4000.0,14,1,2,1,1.0
3759,1,0.997108782,72,0,0.362669503,3760.0,13,0,2,0,0.0
3764,1,0.873510188,50,0,0.196677051,4814.0,6,0,0,0,6.0
3768,1,0.029078837,45,1,21.0,6670.22123739,4,0,0,0,0.0
3770,1,0.922538497,54,0,0.643114251,7500.0,6,0,2,1,0.0
3794,1,0.147044892,48,0,0.08416181,5833.0,5,1,0,0,2.0
3805,1,0.473755047,54,3,0.15364106,6000.0,6,6,0,2,0.0
3808,1,0.451073268,51,0,0.265250719,12523.0,11,0,2,0,3.0
3823,1,0.982502573,40,0,0.440711462,3541.0,6,0,1,0,0.0
3852,1,0.781885397,44,1,0.608878224,5000.0,10,2,1,1,0.0
3858,1,0.694050992,40,0,0.588560286,3076.0,10,0,2,0,0.0
3866,1,0.0,71,1,0.141428991,3400.0,9,2,0,0,0.0
3868,1,1.142476698,52,0,918.0,6670.22123739,3,0,1,1,0.0
3870,1,0.9999999,56,0,0.183962264,3391.0,1,2,0,0,0.0
3910,1,0.246529772,56,0,0.51465576,4400.0,8,1,2,0,0.0
3922,1,1.022995401,30,0,0.612690504,6823.0,14,7,2,1,0.0
3925,1,0.976047904,50,2,0.130284609,7237.0,3,3,1,1,1.0
3942,1,0.92094682,30,0,0.61770428,3083.0,10,0,0,0,0.0
3981,1,0.406654055,55,1,4239.0,6670.22123739,12,0,2,1,0.0
3985,1,0.622289402,60,2,0.631648142,8366.0,13,2,1,1,0.0
3997,1,0.435295387,38,0,0.124606554,5400.0,18,0,0,0,2.0
3998,1,0.9999999,36,3,1848.0,6670.22123739,4,1,1,2,0.0
4000,1,1.034430714,40,3,0.433426629,2500.0,7,1,0,0,0.0
4011,1,0.075351938,67,0,0.333730429,5875.0,7,0,1,0,0.0
4018,1,0.9999999,51,1,0.11059044,3200.0,6,2,0,1,0.0
4058,1,0.161265247,39,0,0.848768904,8000.0,18,0,4,0,2.0
4073,1,1.201451906,57,2,1906.0,6670.22123739,9,4,1,1,0.0
4103,1,0.218611666,34,0,0.488677581,10200.0,16,0,3,0,1.0
4124,1,0.971434849,44,7,0.797264682,8700.0,16,0,1,2,0.0
4133,1,1.170921199,22,1,31.0,6670.22123739,2,0,0,1,0.757222267861
4137,1,1.017928974,63,1,0.466042155,5550.0,7,0,1,0,0.0
4149,1,0.323280507,60,0,0.566333383,6700.0,9,0,2,0,1.0
4226,1,0.9999999,31,0,0.004663558,1500.0,1,1,0,0,1.0
4227,1,0.501809383,45,0,0.388516648,9700.0,20,0,1,0,0.0
4238,1,0.991008991,25,3,0.039745032,8000.0,4,2,0,0,0.0
4239,1,0.571053138,75,0,0.354443309,1957.0,7,0,0,0,1.0
4243,1,0.0,46,0,0.943806952,5925.0,5,0,3,0,0.0
4257,1,1.338645418,48,3,0.332564398,2600.0,4,0,0,0,0.0
4271,1,0.179640719,36,2,1114.0,6670.22123739,6,1,0,0,0.0
4290,1,0.976804639,48,1,0.231628454,1700.0,2,3,0,0,0.0
4302,1,0.039337271,64,0,0.444589735,6117.0,15,0,3,2,0.0
4319,1,0.478124637,41,0,0.737864078,6900.0,12,0,5,0,3.0
4351,1,0.322643631,44,2,0.057744028,6320.0,7,0,0,0,1.0
4358,1,0.9999999,24,0,0.068850639,1800.0,0,3,0,0,1.0
4408,1,0.148477639,46,0,0.542531918,6500.0,11,0,2,0,2.0
4415,1,0.00395156,87,0,269.0,6670.22123739,7,0,1,0,0.757222267861
4442,1,0.069442399,59,0,0.139317854,9000.0,7,1,1,0,0.0
4477,1,0.994975855,41,0,0.195557825,3916.0,8,0,0,0,0.0
4479,1,0.890479154,34,2,0.221777859,5500.0,5,0,0,0,4.0
4526,1,0.798359185,45,0,185.0,0.0,5,0,0,1,3.0
4532,1,0.982253349,50,12,0.529789864,4044.0,15,0,0,1,0.0
4539,1,0.752144448,28,0,0.333256723,4350.0,9,0,0,0,0.0
4542,1,0.207487113,35,0,0.941112323,2750.0,11,0,2,0,1.0
4557,1,0.078366845,52,1,0.06885759,5750.0,18,0,0,0,0.0
4566,1,0.090751779,59,3,0.61098991,7333.0,4,1,2,0,0.0
4575,1,0.9999999,24,0,0.0,2833.0,0,2,0,0,0.0
4576,1,0.9999999,39,0,0.149966674,4500.0,2,0,0,1,3.0
4640,1,0.776169972,45,1,0.515387179,9000.0,7,0,4,0,0.0
4651,1,0.054482992,56,0,0.322556201,7917.0,10,0,1,0,0.0
4656,1,0.9999999,32,0,0.445299145,1169.0,1,0,0,1,0.0
4668,1,0.998996488,55,7,0.817712318,5227.0,14,1,2,1,0.0
4669,1,0.0,31,2,0.331795463,2600.0,3,3,0,0,0.0
4703,1,1.159468439,33,0,0.133708216,3200.0,3,0,0,0,2.0
4717,1,1.132104455,47,0,1347.0,6670.22123739,4,1,1,2,1.0
4749,1,0.9999999,79,0,0.33230498,2268.0,3,0,0,0,0.0
4754,1,0.784422929,72,2,1513.0,6670.22123739,5,5,0,1,0.0
4756,1,0.491589318,75,1,0.939973902,4597.0,16,0,1,0,0.0
4761,1,0.799291581,72,0,1.159466667,3749.0,12,0,2,0,0.0
4775,1,0.228858908,76,0,0.509541082,6340.0,14,0,6,0,0.0
4778,1,0.9999999,59,0,0.856291391,3019.0,8,0,1,0,1.0
4788,1,0.963011619,39,2,3.173398682,5916.0,19,0,12,0,2.0
4848,1,0.9999999,42,0,0.392871287,5049.0,4,2,2,0,2.0
4849,1,0.565974846,61,0,0.682341416,8165.0,10,1,3,0,1.0
4853,1,0.75128109,38,3,0.701099633,3000.0,7,1,1,1,2.0
4854,1,1.003997335,63,2,1.21627566,1363.0,6,1,1,0,0.0
4880,1,0.0,60,3,0.292697378,6750.0,5,1,1,2,0.0
4890,1,0.142115904,43,0,0.598731574,5833.0,8,0,2,0,3.0
4896,1,1.331797235,41,3,1099.0,6670.22123739,7,0,0,1,0.0
4897,1,0.962993506,42,0,0.425616322,3528.0,7,0,0,0,2.0
4912,1,0.59304296,63,0,0.506606356,8400.0,12,1,2,0,0.0
4917,1,0.897489686,28,0,0.776111944,2000.0,8,0,0,0,0.0
4935,1,0.992225102,36,0,955.0,6670.22123739,8,0,0,0,0.0
4953,1,0.291306359,42,0,0.518296341,1666.0,9,0,1,0,0.0
4959,1,0.952629292,65,1,1.086778737,2200.0,4,0,1,1,1.0
4998,1,0.99380124,29,2,0.296685955,1900.0,7,0,0,0,0.0
5004,1,0.19873338,41,0,10333.0,6670.22123739,10,0,8,0,1.0
5039,1,0.77279919,46,0,0.251651559,6508.0,11,0,0,0,0.0
5079,1,0.942072687,39,4,3033.0,6670.22123739,5,0,2,0,0.0
5105,1,0.030300997,47,0,0.008247938,4000.0,6,0,0,0,0.0
5112,1,1.857819905,43,1,0.017697081,4350.0,1,0,0,0,2.0
5133,1,0.1401179,53,0,0.34455496,3920.0,8,0,1,0,1.0
5144,1,1.062392987,46,1,0.29356881,3000.0,7,0,0,0,0.0
5156,1,0.123350658,53,1,1131.0,6670.22123739,18,0,2,0,2.0
5188,1,0.698161883,53,0,0.295252474,5960.0,3,1,1,2,3.0
5193,1,0.840035548,44,1,0.661267746,5000.0,6,0,2,0,1.0
5240,1,0.9999999,27,0,0.115247806,4216.0,2,0,0,1,0.0
5255,1,0.936515871,50,3,0.611002513,3580.0,9,1,2,0,2.0
5287,1,0.9999999,62,0,0.873772791,1425.0,8,1,1,0,1.0
5301,1,0.190952262,64,2,0.204799675,4916.0,13,0,1,0,0.0
5305,1,0.9999999,26,0,1.181699346,764.0,3,2,0,0,0.0
5343,1,0.043153293,65,0,0.193548387,14166.0,16,0,2,0,0.0
5344,1,0.71314741,55,1,866.0,6670.22123739,4,6,0,0,0.0
5372,1,0.9999999,37,2,0.373195113,2700.0,3,1,0,0,3.0
5380,1,0.517741129,62,1,0.130744088,5200.0,3,0,0,0,0.0
5420,1,0.022477318,45,0,1437.0,6670.22123739,8,0,1,0,2.0
5430,1,1.097180564,49,3,0.257828505,6833.0,9,2,0,0,3.0
5449,1,0.9999999,56,0,0.016652789,1200.0,0,1,0,0,0.0
5464,1,0.9999999,53,0,0.250128403,7787.0,1,0,1,1,1.0
5471,1,0.574322369,32,0,0.460269865,2000.0,8,0,0,0,1.0
5476,1,0.851005275,62,0,0.40008726,4583.0,7,0,1,0,0.0
5490,1,0.0359964,36,0,0.037525908,9166.0,5,0,0,0,0.0
5494,1,0.756698193,47,4,0.650514374,10400.0,14,0,3,0,3.0
5497,1,0.827725182,53,1,0.280543891,5000.0,5,1,0,1,0.0
5507,1,0.91692481,45,0,0.077991932,2230.0,4,0,0,0,2.0
5510,1,0.9999999,24,0,0.0,1100.0,0,0,0,0,0.0
5512,1,0.467810012,48,0,0.457134202,3300.0,8,0,1,0,0.0
5553,1,0.209494224,25,0,0.326076439,6200.0,7,0,1,0,0.0
5555,1,0.0,54,0,8.0,6670.22123739,3,0,0,2,0.0
5573,1,0.317477953,45,2,0.069594035,7241.0,11,0,0,0,0.0
5576,1,0.9999999,26,0,50.0,6670.22123739,2,0,0,0,0.0
5603,1,0.9999999,47,0,0.022325709,7300.0,2,1,0,0,1.0
5621,1,0.354203523,59,0,0.237746891,4100.0,7,1,0,0,0.0
5625,1,0.699471504,49,3,0.049985718,3500.0,4,2,0,0,2.0
5641,1,0.9999999,27,0,0.101299567,3000.0,3,3,0,0,1.0
5642,1,0.546382979,30,0,0.829894434,4167.0,6,0,2,0,2.0
5674,1,0.9999999,38,0,693.0,6670.22123739,3,8,0,0,0.0
5679,1,0.530342645,37,0,0.365735953,2900.0,6,0,1,0,1.0
5718,1,0.960418663,80,0,2395.0,6670.22123739,6,0,0,1,0.0
5739,1,0.538073669,53,0,0.406379681,20000.0,9,0,1,1,1.0
5764,1,0.941670555,32,3,0.187953012,4000.0,10,0,0,1,0.0
5780,1,0.9999999,67,1,0.250423012,6500.0,3,1,1,2,1.0
5807,1,0.564824622,39,6,0.4861167,2484.0,15,0,0,1,0.0
5823,1,0.917526598,44,0,1.852144173,3800.0,13,1,7,1,1.0
5838,1,0.96270252,54,1,0.169832155,13583.0,15,2,0,1,0.0
5846,1,0.064903509,33,2,0.339605961,7917.0,11,0,2,0,1.0
5869,1,0.557826908,27,0,0.076852023,5412.0,4,0,0,1,0.0
5878,1,0.806193806,37,0,0.595997361,4546.0,12,1,1,0,2.0
5893,1,0.047702369,59,1,2202.0,6670.22123739,20,0,1,0,0.0
5898,1,0.902408675,51,2,0.713235294,1767.0,8,0,1,1,1.0
5908,1,0.648226066,34,0,0.27063879,12100.0,12,0,2,0,0.0
5913,1,0.822052353,52,0,0.478036606,6009.0,9,0,1,0,2.0
